genot	allele_measured	Other_allele_inGenot	Ct	RéplicatBiol_génotype	réplicat_Techclone	stade	recc_geno	recc_tech	recc_alle	x	info	Ct2
SCR01_SCR12	SCR01	SCR12	0.000440063702446695	183-6	1	D	6	1	1	6.1	NA	0.0360108506356479
SCR01_SCR12	SCR01	SCR12	0.0000137997341546797	412-1	3	C	6	2	1	6.2	NA	0.00112924597664588
SCR01_SCR12	SCR01	SCR12	4.82847821796525E-06	412-1	3	C	6	2	1	6.2	NA	0.000395119176923454
SCR01_SCR12	SCR01	SCR12	0.000502008704421907	412-1	3	C	6	2	1	6.2	NA	0.0410798717827044
SCR01_SCR12	SCR01	SCR12	5.25429304064088E-07	412-1	3	D	6	2	1	6.2	NA	0.0000429964027549766
SCR01_SCR12	SCR01	SCR12	2.85119867064465E-06	412-1	3	D	6	2	1	6.2	NA	0.000233316424168338
SCR01_SCR12	SCR01	SCR12	0.0000828005570951947	412-1	3	D	6	2	1	6.2	NA	0.00677565197385182
SCR01_SCR12	SCR01	SCR12	0.0000412570444649696	77-5	88	C	6	3	1	6.3	NA	0.00337610499942623
SCR01_SCR12	SCR01	SCR12	0.000053689518794094	77-5	88	C	6	3	1	6.3	NA	0.00439346674412012
SCR01_SCR12	SCR01	SCR12	0.000572673315054629	77-5	88	C	6	3	1	6.3	NA	0.0468624271822363
SCR01_SCR12	SCR01	SCR12	7.87111800614437E-06	77-5	88	D	6	3	1	6.3	NA	0.000644101418224006
SCR01_SCR12	SCR01	SCR12	8.74523204044982E-07	77-5	88	D	6	3	1	6.3	NA	0.0000715631039396773
SCR01_SCR12	SCR01	SCR12	0.000229375671194827	77-5	88	D	6	3	1	6.3	NA	0.0187700394032133
SCR01_SCR13	SCR01	SCR13	0.0000693858015891121	132-2	5	C	7	1	1	7.1	NA	0.00567790918307532
SCR01_SCR13	SCR01	SCR13	0.0000304119953255575	132-2	5	C	7	1	1	7.1	NA	0.00248864383749834
SCR01_SCR13	SCR01	SCR13	0.000345266983001244	132-2	5	C	7	1	1	7.1	NA	0.0282535407604644
SCR01_SCR13	SCR01	SCR13	0.0000240267326833864	132-2	5	D	7	1	1	7.1	NA	0.00196613144213791
SCR01_SCR13	SCR01	SCR13	9.85986961851118E-06	132-2	5	D	7	1	1	7.1	NA	0.000806842941476586
SCR01_SCR13	SCR01	SCR13	0.000191548852025574	132-2	5	D	7	1	1	7.1	NA	0.0156746331528179
SCR01_SCR13	SCR01	SCR13	1.44242535736476E-07	103-1	58	C	7	2	1	7.2	NA	0.0000118035102209833
SCR01_SCR13	SCR01	SCR13	1.85124605894337E-07	103-1	58	C	7	2	1	7.2	NA	0.0000151489306997585
SCR01_SCR13	SCR01	SCR13	0.000082800557095195	103-1	58	C	7	2	1	7.2	NA	0.00677565197385185
SCR01_SCR13	SCR01	SCR13	2.72923507833168E-07	103-1	58	D	7	2	1	7.2	NA	0.0000223336022055302
SCR01_SCR13	SCR01	SCR13	3.57637164422469E-07	103-1	58	D	7	2	1	7.2	NA	0.0000292658050145233
SCR01_SCR13	SCR01	SCR13	0.0000425641988021973	103-1	58	D	7	2	1	7.2	NA	0.00348307073946326
SCR01_SCR20	SCR01	SCR20	0.0000279847425294395	126-2	27	C	8	1	1	8.1	£	0.00229001932606968
SCR01_SCR20	SCR01	SCR20	8.82483050464851E-06	126-2	27	C	8	1	1	8.1	£	0.000722144660922814
SCR01_SCR20	SCR01	SCR20	0.000541781968783127	126-2	27	C	8	1	1	8.1	£	0.044334557579876
SCR01_SCR20	SCR01	SCR20	4.07434619158879E-06	126-2	27	D	8	1	1	8.1	£	0.000333407802841901
SCR01_SCR20	SCR01	SCR20	5.76970142945906E-07	126-2	27	D	8	1	1	8.1	£	0.0000472140408839335
SCR01_SCR20	SCR01	SCR20	0.000165601114190389	126-2	27	D	8	1	1	8.1	£	0.0135513039477036
SCR01_SCR20	SCR01	SCR20	3.29794781230112E-06	126-2	29	C	8	2	1	8.2	£	0.000269874350946549
SCR01_SCR20	SCR01	SCR20	4.26781211341845E-07	126-2	29	C	8	2	1	8.2	£	0.0000349239311724276
SCR01_SCR20	SCR01	SCR20	4.97086410923539E-07	126-2	29	C	8	2	1	8.2	£	0.0000406770756080391
SCR01_SCR20	SCR01	SCR20	0.0000034739297240905	126-2	29	D	8	2	1	8.2	£	0.000284275125890697
SCR01_SCR20	SCR01	SCR20	4.95366622589905E-07	126-2	29	D	8	2	1	8.2	£	0.0000405363436175043
SCR01_SCR20	SCR01	SCR20	6.69691503399847E-07	126-2	29	D	8	2	1	8.2	£	0.0000548015220678546
SCR01_SCR20	SCR01	SCR20	1.10310381308106E-06	126-2	30	C	8	3	1	8.3	£	0.0000902680826153514
SCR01_SCR20	SCR01	SCR20	1.59833361562338E-06	126-2	30	C	8	3	1	8.3	£	0.000130793230112226
SCR01_SCR20	SCR01	SCR20	0.00121065205072167	126-2	30	C	8	3	1	8.3	£	0.0990688619122358
SCR01_SCR20	SCR01	SCR20	2.55530706056665E-07	126-2	30	D	8	3	1	8.3	£	0.0000209103319302796
SCR01_SCR20	SCR01	SCR20	1.12238572809102E-06	126-2	30	D	8	3	1	8.3	£	0.0000918459409061679
SCR01_SCR20	SCR01	SCR20	0.00122755212355648	126-2	30	D	8	3	1	8.3	£	0.100451811687921
SCR01_SCR20	SCR01	SCR20	2.04697951421202E-07	43145	57	C	8	4	1	8.4	NA	0.0000167506370397474
SCR01_SCR20	SCR01	SCR20	4.49554698905106E-07	43145	57	C	8	4	1	8.4	NA	0.0000367875083194038
SCR01_SCR20	SCR01	SCR20	0.000114687835597414	43145	57	C	8	4	1	8.4	NA	0.00938501970160669
SCR01_SCR20	SCR01	SCR20	3.5639983383058E-07	43145	57	D	8	4	1	8.4	NA	0.0000291645530210421
SCR01_SCR20	SCR01	SCR20	5.13928824182774E-06	43145	57	D	8	4	1	8.4	NA	0.000420553070432837
SCR01_SCR20	SCR01	SCR20	0.000176260888125305	43145	57	D	8	4	1	8.4	NA	0.0144236038552983
SCR01_SCR20	SCR01	SCR20	1.42256706122366E-07	43125	64	C	8	5	1	8.5	NA	0.0000116410078077555
SCR01_SCR20	SCR01	SCR20	0.0000405482731352697	43125	64	C	8	5	1	8.5	NA	0.00331810553628772
SCR01_SCR20	SCR01	SCR20	0.000431007322407547	43125	64	C	8	5	1	8.5	NA	0.0352697580459246
SCR01_SCR20	SCR01	SCR20	6.24009749265886E-06	43125	64	D	8	5	1	8.5	NA	0.000510633386736181
SCR01_SCR20	SCR01	SCR20	0.0000180830806112912	43125	64	D	8	5	1	8.5	NA	0.00147975647913035
SCR01_SCR20	SCR01	SCR20	0.0000542506519266707	43125	64	D	8	5	1	8.5	NA	0.00443938482668768
SCR01_SCR29	SCR01	SCR29	0.0000135626629816676	546-3	9	C	9	1	1	9.1	NA	0.00110984620667191
SCR01_SCR29	SCR01	SCR29	9.37290762467625E-07	546-3	9	C	9	1	1	9.1	NA	0.0000766994356992727
SCR01_SCR29	SCR01	SCR29	0.0000581444090602989	546-3	9	C	9	1	1	9.1	NA	0.00475801484723013
SCR01_SCR29	SCR01	SCR29	4.46449397771117E-07	546-3	9	D	9	1	1	9.1	NA	0.0000365333984378274
SCR01_SCR29	SCR01	SCR29	5.12835688809099E-07	546-3	9	D	9	1	1	9.1	NA	0.0000419658546879836
SCR01_SCR29	SCR01	SCR29	0.000292353199369856	546-3	9	D	9	1	1	9.1	NA	0.0239235531965668
SCR01_SCR29	SCR01	SCR29	8.13135997550925E-07	546-2	56	C	9	2	1	9.2	NA	0.0000665397277518515
SCR01_SCR29	SCR01	SCR29	5.40201132438563E-07	546-2	56	C	9	2	1	9.2	NA	0.0000442051961688644
SCR01_SCR29	SCR01	SCR29	0.0000202741365676348	546-2	56	C	9	2	1	9.2	NA	0.00165905276814386
SCR01_SCR29	SCR01	SCR29	1.80062363810876E-07	546-2	56	D	9	2	1	9.2	NA	0.000014734682393126
SCR01_SCR29	SCR01	SCR29	7.1279966766116E-07	546-2	56	D	9	2	1	9.2	NA	0.0000583291060420842
SCR01_SCR29	SCR01	SCR29	3.36724470630896E-06	546-2	56	D	9	2	1	9.2	NA	0.000275544984733786
SCR01_SCR29	SCR01	SCR29	9.21188668179368E-07	77-6	65	C	9	3	1	9.3	NA	0.0000753817853020423
SCR01_SCR29	SCR01	SCR29	2.47683311294953E-07	77-6	65	C	9	3	1	9.3	NA	0.0000202681718087522
SCR01_SCR29	SCR01	SCR29	2.64188665029702E-06	77-6	65	C	9	3	1	9.3	NA	0.000216188213277331
SCR01_SCR29	SCR01	SCR29	4.98812169929756E-07	77-6	65	D	9	3	1	9.3	NA	0.0000408182961846522
SCR01_SCR29	SCR01	SCR29	2.48211260879885E-06	77-6	65	D	9	3	1	9.3	NA	0.000203113744485983
SCR01_SCR29	SCR01	SCR29	0.00248937622523293	77-6	65	D	9	3	1	9.3	NA	0.2037081334461
SCR02_Hom	SCR02	Hom	0.184923438656104	192-1	67	C	1	1	2	1.1	NA	0.855458500373835
SCR02_Hom	SCR02	Hom	0.134436798807172	192-1	67	C	1	1	2	1.1	NA	0.621906574625802
SCR02_Hom	SCR02	Hom	0.133508176005981	192-1	67	C	1	1	2	1.1	NA	0.617610752123837
SCR02_Hom	SCR02	Hom	0.407536166201312	192-1	67	D	1	1	2	1.1	NA	1.88526819596413
SCR02_Hom	SCR02	Hom	0.247414164103802	192-1	67	D	1	1	2	1.1	NA	1.14454149962616
SCR02_Hom	SCR02	Hom	0.29017597859593	192-1	67	D	1	1	2	1.1	NA	1.34235827160783
SCR02_Hom	SCR02	Hom	0.178624267467636	86-4	83	C	1	2	2	1.2	NA	0.826318443398656
SCR02_Hom	SCR02	Hom	0.388234437500519	86-4	83	C	1	2	2	1.2	NA	1.79597811997917
SCR02_Hom	SCR02	Hom	0.172539669174579	86-4	83	C	1	2	2	1.2	NA	0.798171003739395
SCR02_Hom	SCR02	Hom	0.212421249784663	86-4	83	D	1	2	2	1.2	NA	0.982663772147661
SCR02_Hom	SCR02	Hom	0.324209888662752	86-4	83	D	1	2	2	1.2	NA	1.49979963155228
SCR02_Hom	SCR02	Hom	0.195467410782148	86-4	83	D	1	2	2	1.2	NA	0.90423506784673
